"date","state","city","place_type","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate"
2020-05-25,"RJ","Rio de Janeiro","city",22466,2831,"True",6718903,3304557,334.37006,0.126
2020-05-24,"RJ","Rio de Janeiro","city",21775,2755,"False",6718903,3304557,324.08564,0.1265
2020-05-23,"RJ","Rio de Janeiro","city",21043,2702,"False",6718903,3304557,313.19101,0.1284
2020-05-22,"RJ","Rio de Janeiro","city",20161,2520,"False",6718903,3304557,300.06386,0.125
2020-05-21,"RJ","Rio de Janeiro","city",18743,2376,"False",6718903,3304557,278.95923,0.1268
2020-05-20,"RJ","Rio de Janeiro","city",17066,2249,"False",6718903,3304557,253.9998,0.1318
2020-05-19,"RJ","Rio de Janeiro","city",14531,2135,"False",6718903,3304557,216.27042,0.1469
2020-05-18,"RJ","Rio de Janeiro","city",13443,1960,"False",6718903,3304557,200.0773,0.1458
2020-05-17,"RJ","Rio de Janeiro","city",12921,1841,"False",6718903,3304557,192.30818,0.1425
2020-05-16,"RJ","Rio de Janeiro","city",12295,1751,"False",6718903,3304557,182.99118,0.1424
2020-05-15,"RJ","Rio de Janeiro","city",11715,1631,"False",6718903,3304557,174.35882,0.1392
2020-05-14,"RJ","Rio de Janeiro","city",11264,1509,"False",6718903,3304557,167.64641,0.134
2020-05-13,"RJ","Rio de Janeiro","city",11026,1363,"False",6718903,3304557,164.10417,0.1236
2020-05-12,"RJ","Rio de Janeiro","city",10816,1279,"False",6718903,3304557,160.97866,0.1183
2020-05-11,"RJ","Rio de Janeiro","city",10619,1172,"False",6718903,3304557,158.04663,0.1104
2020-05-10,"RJ","Rio de Janeiro","city",10520,1126,"False",6718903,3304557,156.57318,0.107
2020-05-09,"RJ","Rio de Janeiro","city",10479,1092,"False",6718903,3304557,155.96296,0.1042
2020-05-08,"RJ","Rio de Janeiro","city",9672,1002,"False",6718903,3304557,143.95207,0.1036
2020-05-07,"RJ","Rio de Janeiro","city",9051,919,"False",6718903,3304557,134.70949,0.1015
2020-05-06,"RJ","Rio de Janeiro","city",8577,764,"False",6718903,3304557,127.65477,0.0891
2020-05-05,"RJ","Rio de Janeiro","city",7832,713,"False",6718903,3304557,116.56665,0.091
2020-05-04,"RJ","Rio de Janeiro","city",7283,670,"False",6718903,3304557,108.39567,0.092
2020-05-03,"RJ","Rio de Janeiro","city",6750,631,"False",6718903,3304557,100.46283,0.0935
2020-05-02,"RJ","Rio de Janeiro","city",6448,603,"False",6718903,3304557,95.96805,0.0935
2020-05-01,"RJ","Rio de Janeiro","city",6189,574,"False",6718903,3304557,92.11325,0.0927
2020-04-30,"RJ","Rio de Janeiro","city",5903,535,"False",6718903,3304557,87.8566,0.0906
2020-04-29,"RJ","Rio de Janeiro","city",5689,496,"False",6718903,3304557,84.67156,0.0872
2020-04-28,"RJ","Rio de Janeiro","city",5554,456,"False",6718903,3304557,82.6623,0.0821
2020-04-27,"RJ","Rio de Janeiro","city",5261,405,"False",6718903,3304557,78.30147,0.077
2020-04-26,"RJ","Rio de Janeiro","city",4498,382,"False",6718903,3304557,66.94545,0.0849
2020-04-25,"RJ","Rio de Janeiro","city",4481,367,"False",6718903,3304557,66.69243,0.0819
2020-04-24,"RJ","Rio de Janeiro","city",4091,347,"False",6718903,3304557,60.88792,0.0848
2020-04-23,"RJ","Rio de Janeiro","city",4027,322,"False",6718903,3304557,59.93538,0.08
2020-04-22,"RJ","Rio de Janeiro","city",3656,303,"False",6718903,3304557,54.41364,0.0829
2020-04-21,"RJ","Rio de Janeiro","city",3587,283,"False",6718903,3304557,53.38669,0.0789
2020-04-20,"RJ","Rio de Janeiro","city",3243,257,"False",6718903,3304557,48.26681,0.0792
2020-04-19,"RJ","Rio de Janeiro","city",3126,245,"False",6718903,3304557,46.52545,0.0784
2020-04-18,"RJ","Rio de Janeiro","city",3059,237,"False",6718903,3304557,45.52827,0.0775
2020-04-17,"RJ","Rio de Janeiro","city",2946,219,"False",6718903,3304557,43.84644,0.0743
2020-04-16,"RJ","Rio de Janeiro","city",2659,195,"False",6718903,3304557,39.57491,0.0733
2020-04-15,"RJ","Rio de Janeiro","city",2519,167,"False",6718903,3304557,37.49124,0.0663
2020-04-14,"RJ","Rio de Janeiro","city",2393,140,"False",6718903,3304557,35.61593,0.0585
2020-04-13,"RJ","Rio de Janeiro","city",2322,115,"False",6718903,3304557,34.55921,0.0495
2020-04-12,"RJ","Rio de Janeiro","city",1996,106,"False",6718903,3304557,29.70723,0.0531
2020-04-11,"RJ","Rio de Janeiro","city",1905,98,"False",6718903,3304557,28.35284,0.0514
2020-04-10,"RJ","Rio de Janeiro","city",1808,92,"False",6718903,3304557,26.90915,0.0509
2020-04-09,"RJ","Rio de Janeiro","city",1633,82,"False",6718903,3304557,24.30456,0.0502
2020-04-08,"RJ","Rio de Janeiro","city",1449,73,"False",6718903,3304557,21.56602,0.0504
2020-04-07,"RJ","Rio de Janeiro","city",1251,59,"False",6718903,3304557,18.61911,0.0472
2020-04-06,"RJ","Rio de Janeiro","city",1110,47,"False",6718903,3304557,16.52055,0.0423
2020-04-05,"RJ","Rio de Janeiro","city",1068,42,"False",6718903,3304557,15.89545,0.0393
2020-04-04,"RJ","Rio de Janeiro","city",982,38,"False",6718903,3304557,14.61548,0.0387
2020-04-03,"RJ","Rio de Janeiro","city",867,36,"False",6718903,3304557,12.90389,0.0415
2020-04-02,"RJ","Rio de Janeiro","city",798,31,"False",6718903,3304557,11.87694,0.0388
2020-04-01,"RJ","Rio de Janeiro","city",697,20,"False",6718903,3304557,10.37372,0.0287
2020-03-31,"RJ","Rio de Janeiro","city",586,18,"False",6718903,3304557,8.72166,0.0307
2020-03-30,"RJ","Rio de Janeiro","city",553,13,"False",6718903,3304557,8.23051,0.0235
2020-03-29,"RJ","Rio de Janeiro","city",516,13,"False",6718903,3304557,7.67983,0.0252
2020-03-28,"RJ","Rio de Janeiro","city",489,9,"False",6718903,3304557,7.27797,0.0184
2020-03-27,"RJ","Rio de Janeiro","city",431,6,"False",6718903,3304557,6.41474,0.0139
2020-03-26,"RJ","Rio de Janeiro","city",368,6,"False",6718903,3304557,5.47708,0.0163
2020-03-25,"RJ","Rio de Janeiro","city",331,5,"False",6718903,3304557,4.9264,0.0151
2020-03-24,"RJ","Rio de Janeiro","city",276,3,"False",6718903,3304557,4.10781,0.0109
2020-03-23,"RJ","Rio de Janeiro","city",212,1,"False",6718903,3304557,3.15528,0.0047
2020-03-22,"RJ","Rio de Janeiro","city",168,0,"False",6718903,3304557,2.50041,0
2020-03-21,"RJ","Rio de Janeiro","city",99,0,"False",6718903,3304557,1.47345,0
2020-03-19,"RJ","Rio de Janeiro","city",56,0,"False",6718903,3304557,0.83347,0
2020-03-18,"RJ","Rio de Janeiro","city",55,0,"False",6718903,3304557,0.81859,0
2020-03-16,"RJ","Rio de Janeiro","city",23,0,"False",6718903,3304557,0.34232,0
2020-03-15,"RJ","Rio de Janeiro","city",22,0,"False",6718903,3304557,0.32743,0
2020-03-12,"RJ","Rio de Janeiro","city",13,0,"False",6718903,3304557,0.19348,0
2020-03-08,"RJ","Rio de Janeiro","city",2,0,"False",6718903,3304557,0.02977,0
2020-03-06,"RJ","Rio de Janeiro","city",1,0,"False",6718903,3304557,0.01488,0
